population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Treg,SF_vs_PB_Treg,Reactome,facet,top 10 per direction by pooled FDR,1,REACTOME_NEUTROPHIL_DEGRANULATION,Neutrophil Degranulation,up,2.39619328,0.501205252,4.48050473e-21,1.00619335e-18,4.6210296499999996e-18,Reactome,374,192,0.513368984
Treg,SF_vs_PB_Treg,Reactome,facet,top 10 per direction by pooled FDR,2,REACTOME_SIGNALING_BY_INTERLEUKINS,Signaling by Interleukins,up,2.3103238,0.484925448,1.23817185e-18,1.76946013e-16,8.2629762400000005e-16,Reactome,362,149,0.41160221
Treg,SF_vs_PB_Treg,Reactome,facet,top 10 per direction by pooled FDR,3,REACTOME_INTERLEUKIN_10_SIGNALING,Interleukin 10 Signaling,up,2.6440277,0.800202871,7.58028608e-12,6.62011651e-10,1.75506828e-9,Reactome,34,21,0.617647059
Treg,SF_vs_PB_Treg,Reactome,facet,top 10 per direction by pooled FDR,4,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,Cellular Response to Chemical Stress,up,2.29461207,0.524246799,2.20233014e-11,1.82213841e-9,4.42569459e-9,Reactome,168,68,0.404761905
Treg,SF_vs_PB_Treg,Reactome,facet,top 10 per direction by pooled FDR,5,REACTOME_REGULATION_OF_PD_L1_CD274_POST_TRANSLATIONAL_MODIFICATION,Regulation of Pd L1 CD-274 Post Translational Modification,up,2.46788397,0.629615231,6.97720188e-11,5.48408068e-9,1.11487824e-8,Reactome,81,43,0.530864198
Treg,SF_vs_PB_Treg,Reactome,facet,top 10 per direction by pooled FDR,6,REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,Asparagine N Linked Glycosylation,up,2.09568669,0.454065707,1.07039481e-10,8.01266971e-9,1.64103096e-8,Reactome,262,123,0.469465649
Treg,SF_vs_PB_Treg,Reactome,facet,top 10 per direction by pooled FDR,7,REACTOME_CO_INHIBITION_BY_PD_1,Co Inhibition by Pd 1,up,2.24848722,0.525923728,2.39739073e-10,1.71304465e-8,3.19981151e-8,Reactome,141,61,0.432624113
Treg,SF_vs_PB_Treg,Reactome,facet,top 10 per direction by pooled FDR,8,REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,Golgi to ER Retrograde Transport,up,2.31883491,0.564067954,4.61397104e-10,3.1535489e-8,5.81616682e-8,Reactome,108,56,0.518518519
Treg,SF_vs_PB_Treg,Reactome,facet,top 10 per direction by pooled FDR,9,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,MHC Class II Antigen Presentation,up,2.35258023,0.578697053,5.58443477e-10,3.51149258e-8,6.7399375e-8,Reactome,101,40,0.396039604
Treg,SF_vs_PB_Treg,Reactome,facet,top 10 per direction by pooled FDR,10,REACTOME_PROGRAMMED_CELL_DEATH,Programmed Cell Death,up,2.16969197,0.495307127,8.75374782e-10,5.2926506e-8,1.00314413e-7,Reactome,169,76,0.449704142
Treg,SF_vs_PB_Treg,Reactome,facet,top 10 per direction by pooled FDR,11,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,Eukaryotic Translation Elongation,down,-3.3930906,-0.803100388,3.03177974e-33,4.76595775e-30,1.7197770599999998e-29,Reactome,92,80,0.869565217
Treg,SF_vs_PB_Treg,Reactome,facet,top 10 per direction by pooled FDR,12,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,Eukaryotic Translation Initiation,down,-3.24608874,-0.738512478,5.74824345e-31,4.51811935e-28,2.17379406e-27,Reactome,118,86,0.728813559
Treg,SF_vs_PB_Treg,Reactome,facet,top 10 per direction by pooled FDR,13,REACTOME_SELENOAMINO_ACID_METABOLISM,Selenoamino Acid Metabolism,down,-3.29731897,-0.7691836,1.21751517e-30,6.37977947e-28,3.1481515400000002e-27,Reactome,100,81,0.81
Treg,SF_vs_PB_Treg,Reactome,facet,top 10 per direction by pooled FDR,14,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,Response of Eif2ak4 Gcn2 to Amino Acid Deficiency,down,-3.25604982,-0.760777429,1.1676541099999999e-28,4.58888064e-26,1.8924336899999999e-25,Reactome,99,78,0.787878788
Treg,SF_vs_PB_Treg,Reactome,facet,top 10 per direction by pooled FDR,15,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,Nonsense Mediated Decay Nmd,down,-3.14830795,-0.720158396,3.96003502e-27,1.2450350099999999e-24,5.61582466e-24,Reactome,114,82,0.719298246
Treg,SF_vs_PB_Treg,Reactome,facet,top 10 per direction by pooled FDR,16,REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION,Influenza Viral RNA Transcription and Replication,down,-3.06429552,-0.68467079,8.40247369e-26,2.20144811e-23,9.5326064e-23,Reactome,133,85,0.639097744
