pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,Reactome,Tcon,SF_vs_PB_Tcon,-3.64738368,-0.806225246,3.60766387e-45,5.7722622e-42,118,87,RPS19/EIF3G/FAU/RPS10/PABPC1/RPL26/EIF3K/RPS16/RPL17/RPS27A/RPLP0/RPL14/RPL24/RPS24/RPL7A/RPL36A/RPL35/RPL27A/RPS9/RPS27/RPS15/RPL10/EIF4B/RPS11/RPL23A/RPL37A/UBA52/EIF4A2/EIF3D/RPS3/RPL8/RPS4X/RPL23/RPS14/RPL15/RPL13/RPS25/RPS21/RPL13A/RPS15A/RPS4Y1/RPL12/RPL18A/RPL35A/RPL36/RPL18/RPS18/RPS7/RPS29/RPL34/RPS23/EIF3F/RPL3/RPL19/RPS28/RPS12/RPL30/RPL38/RPL29/RPL11/RPL31/RPL21/RPLP2/RPSA/EIF3H/RPL39/RPL32/RPL6/RPL27/RPL9/RPS5/RPS20/EIF3M/RPL37/RPL10A/RPS6/RPL4/RPL5/RPS3A/RPS13/RPS8/RPS2/EIF2S3/EIF3E/RPL7/RPL22/EIF3L,down,FALSE
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,Reactome,Tcon,SF_vs_PB_Tcon,-3.66494491,-0.845680372,2.2662597e-43,1.8130077599999999e-40,92,76,RPL26/EEF1G/RPS16/RPL17/RPS27A/RPLP0/RPL14/RPL24/RPS24/RPL7A/RPL36A/RPL35/RPL27A/RPS9/RPS27/RPS15/RPL10/RPS11/RPL23A/RPL37A/UBA52/RPS3/RPL8/RPS4X/RPL23/RPS14/RPL15/RPL13/RPS25/RPS21/RPL13A/RPS15A/RPS4Y1/RPL12/RPL18A/RPL35A/EEF1A1/RPL36/RPL18/RPS18/RPS7/RPS29/RPL34/RPS23/RPL3/RPL19/RPS28/RPS12/RPL30/RPL38/EEF2/RPL29/RPL11/RPL31/RPL21/RPLP2/RPSA/RPL39/RPL32/RPL6/RPL27/RPL9/RPS5/RPS20/RPL37/RPL10A/RPS6/RPL4/RPL5/RPS3A/RPS13/RPS8/RPS2/RPL7/RPL22/EEF1B2,down,FALSE
REACTOME_SELENOAMINO_ACID_METABOLISM,REACTOME_SELENOAMINO_ACID_METABOLISM,Reactome,Tcon,SF_vs_PB_Tcon,-3.5704784,-0.807366847,1.44513773e-40,7.70740122e-38,103,80,AHCY/RPS19/FAU/GSR/RPS10/RPL26/INMT/RPS16/RPL17/RPS27A/RPLP0/RPL14/RPL24/SECISBP2/RPS24/RPL7A/RPL36A/RPL35/RPL27A/RPS9/RPS27/RPS15/RPL10/EEFSEC/RPS11/RPL23A/RPL37A/UBA52/RPS3/RPL8/RPS4X/RPL23/RPS14/RPL15/RPL13/RPS25/RPS21/RPL13A/RPS15A/RPS4Y1/RPL12/RPL18A/RPL35A/RPL36/RPL18/RPS18/RPS7/RPS29/RPL34/RPS23/RPL3/RPL19/RPS28/RPS12/RPL30/RPL38/RPL29/RPL11/RPL31/RPL21/RPLP2/RPSA/RPL39/RPL32/RPL6/RPL27/RPL9/RPS5/RPS20/RPL37/RPL10A/RPS6/RPL4/RPL5/RPS3A/RPS13/RPS8/RPS2/RPL7/RPL22,down,FALSE
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,Reactome,Tcon,SF_vs_PB_Tcon,-3.48255787,-0.779491394,2.4277550799999997e-37,9.71102032e-35,110,72,RPL26/RPS16/RPL17/RPS27A/RPLP0/RPL14/RPL24/RPS24/RPL7A/RPL36A/RPL35/RPL27A/RPS9/RPS27/RPS15/RPL10/RPS11/RPL23A/RPL37A/UBA52/RPS3/RPL8/RPS4X/RPL23/RPS14/RPL15/RPL13/RPS25/RPS21/RPL13A/RPS15A/RPS4Y1/RPL12/RPL18A/RPL35A/RPL36/RPL18/RPS18/RPS7/RPS29/RPL34/RPS23/RPL3/RPL19/RPS28/RPS12/RPL30/RPL38/RPL29/RPL11/RPL31/RPL21/RPLP2/RPSA/RPL39/RPL32/RPL6/RPL27/RPL9/RPS5/RPS20/RPL37/RPL10A/RPS6/RPL4/RPL5/RPS3A/RPS13/RPS8/RPS2/RPL7/RPL22,down,FALSE
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,Reactome,Tcon,SF_vs_PB_Tcon,-3.52587094,-0.802248301,6.533941159999999e-37,2.09086117e-34,99,77,RPS19/FAU/IMPACT/RPS10/RPL26/RPS16/RPL17/RPS27A/RPLP0/RPL14/RPL24/RPS24/RPL7A/RPL36A/RPL35/RPL27A/RPS9/RPS27/RPS15/RPL10/RPS11/RPL23A/RPL37A/UBA52/RPS3/RPL8/RPS4X/RPL23/RPS14/RPL15/RPL13/RPS25/RPS21/RPL13A/RPS15A/RPS4Y1/RPL12/RPL18A/RPL35A/RPL36/RPL18/RPS18/RPS7/RPS29/RPL34/RPS23/RPL3/RPL19/RPS28/RPS12/RPL30/RPL38/RPL29/RPL11/RPL31/RPL21/RPLP2/RPSA/RPL39/RPL32/RPL6/RPL27/RPL9/RPS5/RPS20/RPL37/RPL10A/RPS6/RPL4/RPL5/RPS3A/RPS13/RPS8/RPS2/EIF2S3/RPL7/RPL22,down,FALSE
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION,REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION,Reactome,Tcon,SF_vs_PB_Tcon,-3.41013534,-0.740369176,3.09795679e-36,8.26121811e-34,133,83,RPL28/POLR2H/RPL41/POM121/RPS19/FAU/NUP43/RPS10/TPR/RPL26/RPS16/RPL17/RPS27A/RPLP0/RPL14/RPL24/RPS24/RPL7A/RPL36A/RPL35/RPL27A/RPS9/RPS27/RPS15/RPL10/RPS11/RPL23A/RPL37A/UBA52/RPS3/RPL8/RPS4X/RPL23/RPS14/RPL15/RPL13/RPS25/RPS21/RPL13A/RPS15A/RPS4Y1/RPL12/RPL18A/RPL35A/RPL36/RPL18/RPS18/RPS7/RPS29/RPL34/RPS23/RPL3/RPL19/RPS28/NUP210/RPS12/RPL30/RPL38/RPL29/RPL11/RPL31/RPL21/RPLP2/RPSA/RPL39/RPL32/RPL6/RPL27/RPL9/RPS5/NUP88/RPS20/RPL37/RPL10A/RPS6/RPL4/RPL5/RPS3A/RPS13/RPS8/RPS2/RPL7/RPL22,down,FALSE
REACTOME_RRNA_PROCESSING,REACTOME_RRNA_PROCESSING,Reactome,Tcon,SF_vs_PB_Tcon,-3.18741824,-0.654866373,2.43491263e-35,5.56551458e-33,196,103,MRM1/RPUSD3/EXOSC2/WDR36/RIOK2/TFB1M/RPL28/THUMPD1/MPHOSPH10/RPL41/EXOSC1/WDR12/RPUSD4/UTP14A/NOP2/NOB1/RPS19/FAU/WDR3/WDR75/RPS10/NOP56/TEX10/EXOSC8/EMG1/RPL26/GNL3/RPS16/RPL17/RPS27A/RPLP0/RPL14/RPL24/RPS24/RPL7A/RPL36A/RPL35/RPL27A/RPS9/RPS27/RPS15/RPL10/EXOSC5/RPS11/RPL23A/RPL37A/UBA52/RPS3/NOL11/RPL8/RPS4X/RPL23/RPS14/RPL15/RPL13/RPS25/RPS21/RPL13A/RPS15A/RPS4Y1/RPL12/RPL18A/RPL35A/RPL36/RPL18/RPS18/RPS7/RPS29/RPL34/RPS23/RPL3/RPL19/RPS28/RPS12/RPL30/RPL38/WDR43/RPL29/RPL11/RPL31/RPL21/RPLP2/RPSA/RPL39/RPL32/RPL6/RPL27/RPL9/RPS5/RPS20/RPL37/RPL10A/RPS6/RPL4/RPL5/RPS3A/RPS13/RPS8/RPS2/RPL7/RPL22/NOL9/FBL,down,FALSE
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,Reactome,Tcon,SF_vs_PB_Tcon,-3.43142217,-0.762772312,6.39670383e-35,1.27934077e-32,114,77,RPS19/FAU/NCBP2/RPS10/PABPC1/RPL26/RPS16/RPL17/RPS27A/RPLP0/RPL14/RPL24/RPS24/RPL7A/RPL36A/RPL35/RPL27A/RPS9/RPS27/RPS15/RPL10/RPS11/RPL23A/RPL37A/UBA52/RPS3/RPL8/RPS4X/RPL23/RPS14/RPL15/RPL13/RPS25/RPS21/RPL13A/RPS15A/RPS4Y1/RPL12/RPL18A/RPL35A/RPL36/RPL18/RPS18/RPS7/RPS29/RPL34/RPS23/RPL3/RPL19/RPS28/RPS12/RPL30/RPL38/RPL29/RPL11/RPL31/RPL21/RPLP2/RPSA/RPL39/RPL32/RPL6/RPL27/RPL9/RPS5/RPS20/RPL37/RPL10A/RPS6/RPL4/RPL5/RPS3A/RPS13/RPS8/RPS2/RPL7/RPL22,down,FALSE
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,REACTOME_CELLULAR_RESPONSE_TO_STARVATION,Reactome,Tcon,SF_vs_PB_Tcon,-3.1559598,-0.674714605,2.5093124599999998e-29,4.46099994e-27,147,77,RPS16/RPL17/RPS27A/ATP6V1E2/RPLP0/RPL14/RPL24/RPS24/RPL7A/NPRL3/RPL36A/RPL35/RPL27A/RPS9/RPS27/RPS15/RPL10/RPS11/RPL23A/RPL37A/UBA52/RPS3/RPL8/RPS4X/RPL23/RPS14/ITFG2/RPL15/RPL13/RPS25/RPS21/RPL13A/RPS15A/RPS4Y1/RPL12/RPL18A/RPL35A/RPL36/RPL18/RPS18/RPS7/RPS29/RPTOR/RPL34/RPS23/RPL3/RPL19/RPS28/RPS12/RPL30/RPL38/RPL29/RPL11/RPL31/RPL21/RPLP2/RPSA/RPL39/RPL32/RPL6/RPL27/RPL9/RPS5/RPS20/RPL37/RPL10A/RPS6/RPL4/RPL5/RPS3A/RPS13/RPS8/RPS2/EIF2S3/RPL7/RPL22/SESN1,down,FALSE
REACTOME_INFLUENZA_INFECTION,REACTOME_INFLUENZA_INFECTION,Reactome,Tcon,SF_vs_PB_Tcon,-3.15255607,-0.669698797,1.7849589499999999e-28,2.85593432e-26,154,85,RPL28/POLR2H/RPL41/POM121/RPS19/FAU/NUP43/RPS10/TPR/RPL26/RPS16/RPL17/RPS27A/SLC25A6/RPLP0/RPL14/RPL24/RPS24/RPL7A/RPL36A/RPL35/RPL27A/RPS9/RPS27/RPS15/RPL10/RPS11/RPL23A/RPL37A/UBA52/GBP1/RPS3/RPL8/RPS4X/RPL23/RPS14/RPL15/RPL13/RPS25/RPS21/RPL13A/RPS15A/RPS4Y1/RPL12/RPL18A/RPL35A/RPL36/RPL18/RPS18/RPS7/RPS29/RPL34/RPS23/RPL3/RPL19/RPS28/NUP210/RPS12/RPL30/RPL38/RPL29/RPL11/RPL31/RPL21/RPLP2/RPSA/RPL39/RPL32/RPL6/RPL27/RPL9/RPS5/NUP88/RPS20/RPL37/RPL10A/RPS6/RPL4/RPL5/RPS3A/RPS13/RPS8/RPS2/RPL7/RPL22,down,FALSE
