pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
KEGG_RIBOSOME,KEGG_RIBOSOME,KEGG,CD8,SF_vs_PB_CD8,-3.73655707,-0.888091305,3.0654521199999992e-49,5.67108642e-47,85,76,RSL24D1/FAU/RPL17/RPS10/RPL28/RPLP1/RPL41/RPL22L1/RPL24/RPS4Y1/RPS19/RPL14/RPL10/RPL7A/RPS15A/RPS2/RPS27/RPL37A/RPL35A/RPS24/RPS15/RPS25/RPS27A/RPL38/RPS21/RPL35/RPL23A/RPS7/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPS9/RPL18/RPS28/RPS16/RPL15/RPLP0/RPL27A/RPL11/RPS20/RPS11/RPL27/RPL39/RPS3/RPS4X/RPL31/RPL34/RPS23/RPL6/RPL13/RPL9/RPL13A/RPL19/RPSA/RPL18A/RPL29/RPL21/RPS5/RPS12/RPL4/RPLP2/RPL37/RPL32/RPL10A/RPL5/RPS8/RPS18/RPS6/RPL7/RPL22/RPS13/RPL3/RPS3A,down,FALSE
KEGG_TYPE_I_DIABETES_MELLITUS,KEGG_TYPE_I_DIABETES_MELLITUS,KEGG,CD8,SF_vs_PB_CD8,2.30159503,0.709785048,1.71327233e-7,1.58477691e-5,33,21,HLA-DQA2/HLA-DMA/PTPRN2/HLA-DRA/HLA-DMB/FASLG/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DPA1/HLA-DQB1/CD86/FAS/HLA-DPB1/GZMB/HLA-DOA/HLA-G/TNF/CD80/IFNG/HLA-A,up,FALSE
KEGG_ALLOGRAFT_REJECTION,KEGG_ALLOGRAFT_REJECTION,KEGG,CD8,SF_vs_PB_CD8,2.27240907,0.700784438,3.98047274e-7,2.45462486e-5,33,21,HLA-DQA2/HLA-DMA/HLA-DRA/HLA-DMB/FASLG/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DPA1/HLA-DQB1/CD86/FAS/HLA-DPB1/IL10/GZMB/HLA-DOA/HLA-G/TNF/CD80/IFNG/HLA-A,up,FALSE
KEGG_AUTOIMMUNE_THYROID_DISEASE,KEGG_AUTOIMMUNE_THYROID_DISEASE,KEGG,CD8,SF_vs_PB_CD8,2.26410818,0.702661738,7.28471412e-7,3.00234815e-5,32,19,HLA-DQA2/HLA-DMA/HLA-DRA/HLA-DMB/FASLG/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DPA1/HLA-DQB1/CD86/FAS/HLA-DPB1/IL10/CTLA4/GZMB/HLA-DOA/HLA-G/CD80,up,FALSE
KEGG_GRAFT_VERSUS_HOST_DISEASE,KEGG_GRAFT_VERSUS_HOST_DISEASE,KEGG,CD8,SF_vs_PB_CD8,2.25828933,0.68745435,8.11445446e-7,3.00234815e-5,35,20,HLA-DQA2/HLA-DMA/HLA-DRA/HLA-DMB/FASLG/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DPA1/HLA-DQB1/CD86/FAS/HLA-DPB1/GZMB/HLA-DOA/HLA-G/TNF/CD80/IFNG/HLA-A,up,FALSE
KEGG_ASTHMA,KEGG_ASTHMA,KEGG,CD8,SF_vs_PB_CD8,2.20662139,0.766726828,5.1281618e-6,1.48039439e-4,20,11,HLA-DQA2/HLA-DMA/HLA-DRA/HLA-DMB/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DPA1/HLA-DQB1/HLA-DPB1/IL10,up,FALSE
KEGG_CHEMOKINE_SIGNALING_PATHWAY,KEGG_CHEMOKINE_SIGNALING_PATHWAY,KEGG,CD8,SF_vs_PB_CD8,1.87827106,0.448457763,5.6014923e-6,1.48039439e-4,137,57,CXCR3/CCL4L2/GRK5/ADCY3/GNB4/CCR5/CXCL13/CCL5/PRKCD/CCL3/CCL23/RAC1/RHOA/ADRBK1/CCL4/HRAS/GNG5/MAPK3/DOCK2/TIAM2/PREX1/GNB1/KRAS/AKT3/ROCK1/CXCL16/XCL1/CCL2/GNAI2/AKT1/CXCR6/PRKACA/NRAS/MAPK1/GNB5/GNAI3/CCL18/GSK3A/ADCY7/PRKX/PAK1/VAV2/IKBKG/PIK3CD/NCF1/XCL2/JAK3/CRK/PIK3CG/GNG2/PIK3CB/SOS2/HCK/ROCK2/PTK2B/CCR4/CCL3L3,up,FALSE
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG,CD8,SF_vs_PB_CD8,2.05745077,0.551901748,9.45276823e-6,2.18595265e-4,66,22,CD74/HLA-DQA2/CTSB/HLA-DMA/HLA-DRA/HLA-DMB/CIITA/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DPA1/HSPA1A/HLA-DQB1/CD8A/HLA-DPB1/CTSL/IFI30/TAP1/KIR2DL4/HLA-DOA/TAPBP/HLA-G,up,FALSE
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,KEGG,CD8,SF_vs_PB_CD8,1.82774434,0.434048784,1.16005574e-5,2.38455903e-4,142,62,ITGA2/ACTN4/PDGFA/EZR/IQGAP1/ARHGAP35/ITGA3/LIMK1/RAC1/F2R/RHOA/HRAS/GNA13/FN1/ITGA1/MYL12B/MAPK3/TIAM2/MAP2K2/IQGAP3/GSN/KRAS/PIP4K2C/ARHGEF12/ROCK1/ITGB1/ITGAE/RRAS/SSH1/NRAS/MAPK1/TMSB4X/MYH9/ITGAD/DIAPH1/CFL1/MSN/PIP5K1C/ITGAX/PAK1/VAV2/WASF2/PIK3CD/IQGAP2/GIT1/CRK/PIK3CG/ARPC2/NCKAP1L/PPP1R12A/ARPC4/PIK3CB/SOS2/PPP1CB/ROCK2/DIAPH3/RAC3/PAK4/ARPC1B/LIMK2/ARPC5/SOS1,up,FALSE
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,KEGG,CD8,SF_vs_PB_CD8,2.07422839,0.623760181,1.97103998e-5,3.64642397e-4,37,13,HLA-DQA2/HLA-DMA/HLA-DRA/HLA-DMB/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DPA1/HLA-DQB1/CD86/HLA-DPB1/IL10/ICOS,up,FALSE
