pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,WikiPathways,Tcon,SF_vs_PB_Tcon,-3.64097443,-0.848988147,3.02661855e-41,2.56657253e-38,86,72,RPL26/RPS16/RPL17/RPS27A/RPLP0/RPL14/RPL24/RPS24/RPL7A/RPL36A/RPL35/RPL27A/RPS9/RPS27/RPS15/RPL10/RPS11/RPL23A/RPL37A/UBA52/RPS3/RPL8/RPS4X/RPL23/RPS14/RPL15/RPL13/RPS25/RPS21/RPL13A/RPS15A/RPS4Y1/RPL12/RPL18A/RPL35A/RPL36/RPL18/RPS18/RPS7/RPS29/RPL34/RPS23/RPL3/RPL19/RPS28/RPS12/RPL30/RPL38/RPL29/RPL11/RPL31/RPL21/RPLP2/RPSA/RPL39/RPL32/RPL6/RPL27/RPL9/RPS5/RPS20/RPL37/RPL10A/RPS6/RPL4/RPL5/RPS3A/RPS13/RPS8/RPS2/RPL7/RPL22,down,FALSE
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,WikiPathways,Tcon,SF_vs_PB_Tcon,2.64477342,0.724464023,2.14090777e-11,9.07744895e-9,49,32,CCL5/IFNG/CXCL13/CCL3/XCL2/CCL4/LIF/TNF/CCL23/XCL1/CSF1/IL10/IL7/IL26/IL15/CCL20/CCL4L2/EBI3/VEGFA/CSF2/CXCL16/SPP1/IL1RN/IL18/CCL2/MMP9/CXCL10/CCL17/IL21/TNFSF13/IL17C/OSM,up,FALSE
WP_ALLOGRAFT_REJECTION,WP_ALLOGRAFT_REJECTION,WikiPathways,Tcon,SF_vs_PB_Tcon,2.55192319,0.658681407,4.04930738e-11,1.14460422e-8,67,36,IFNG/CXCL13/HLA-DQA1/HLA-DRB1/HLA-DRB5/HLA-DQA2/FASLG/PRF1/CTLA4/TNF/HLA-DMA/HLA-DPA1/HLA-DRA/HLA-DPB1/IL10/VIM/CD86/HLA-DQB1/HLA-DMB/CASP3/GZMB/FAS/C1QA/CASP7/C1QB/COL5A1/C1QC/VEGFA/GNLY/CASP9/FOXP3/HLA-DOA/ABCB1/HLA-A/IL21/C3,up,FALSE
WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING,WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING,WikiPathways,Tcon,SF_vs_PB_Tcon,2.19893456,0.482114832,6.07391212e-11,1.28766937e-8,190,71,CCL5/CCR5/IFNG/CXCL13/DDIT4/CTSB/CD2/HLA-DRB1/HLA-DRB5/CCL3/CTSL/IFI6/CCL4/IL18RAP/EIF4EBP1/ITGA3/MX1/TNF/HLA-DRA/IL10/MYD88/IL7/CTSD/NLRP3/CCL20/CASP3/TLE3/IKBKG/FN1/IFITM3/TBK1/CD8B/CDK1/ERLEC1/CXCL16/CASP9/RAC1/G3BP2/IFI27/CD8A/EGR1/GSN/IL18/CCL2/HIF1A/APOC1/GGH/BID/RHEB/AKT1/TRPM2/NTRK1/IFI44L/GTSE1/CXCL10/OS9/JUN/SERPINE1/IL21/TP53I3/FOS/CD4/NFKB2/BST2/ULK1/CTSZ/MAP1LC3B/STEAP3/TRAF2/IRAK1/TBKBP1,up,FALSE
WP_EBOLA_VIRUS_INFECTION_IN_HOST,WP_EBOLA_VIRUS_INFECTION_IN_HOST,WikiPathways,Tcon,SF_vs_PB_Tcon,2.34651023,0.554470247,1.78848309e-10,3.03326731e-8,112,52,ACTN4/CTSB/HAVCR2/IQGAP1/HLA-DQA1/HLA-DRB1/HLA-DRB5/CTSL/EPS15/HLA-DQA2/ITGA1/ITGA3/ITGA2/HLA-DMA/HLA-DPA1/RHOC/HLA-DRA/RHOB/HLA-DPB1/HLA-DQB2/CLEC10A/HLA-DQB1/IRF7/HLA-DMB/EIF2AK2/CLTC/TIMD4/RHOA/TBK1/NEDD4/TSG101/RAC1/NPC1/GSN/EP300/ADAM17/VAV2/ITGA5/AKT1/ITGAV/MAPK1/PIK3R3/ASGR1/HLA-DOA/HLA-A/CAV1/PAK1/RELA/NFKB2/BST2/TLR4/HLA-F,up,FALSE
WP_CELL_INTERACTIONS_IN_PANCREATIC_CANCER_MICROENVIRONMENT,WP_CELL_INTERACTIONS_IN_PANCREATIC_CANCER_MICROENVIRONMENT,WikiPathways,Tcon,SF_vs_PB_Tcon,2.55587756,0.822401425,9.65513911e-10,1.36459299e-7,24,19,CXCR3/CCL5/CCR5/CXCR4/HLA-DRB1/FASLG/LAG3/CTLA4/CSF1/HLA-DRA/CD86/CCR2/FAS/CSF1R/VEGFA/CSF2/CSF2RA/IFITM2/CCL2,up,FALSE
WP_NUCLEAR_RECEPTORS_METAPATHWAY,WP_NUCLEAR_RECEPTORS_METAPATHWAY,WikiPathways,Tcon,SF_vs_PB_Tcon,2.06038974,0.449737981,7.21341506e-9,8.7385371e-7,196,77,IFNG/STOM/VDR/SLC6A6/SRGN/TNS4/ALOX5AP/GGT1/SLC2A8/BHLHE40/TNF/RXRA/CDC42EP3/SLC39A1/MYOF/PDE4B/TXN/CCL20/SCD/RGS2/PRDX1/DBI/KAT2B/ABHD2/SLC2A3/NCOA3/CDK1/NQO1/NR3C1/SQSTM1/HSPA1A/EGR1/NCOA1/EP300/KEAP1/CCL2/SLC2A1/PPARA/SERPINA1/AKAP13/JUND/MAFG/STAT3/SLC6A8/GADD45B/TGFBR3/JUN/SLC39A13/ENC1/SRC/ABCB1/SCP2/TXNRD1/POLK/GSTP1/GPR153/SLC39A6/NFKB2/TSC22D3/FASN/SEC14L1/THBD/BLVRB/ALAS1/SLCO2B1/HMOX1/HBEGF/FGD4/ABCC3/SMC1A/PRRG4/CDC37/SLC39A8/MGST3/FTH1/SLC2A14/AHR,up,FALSE
WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION,WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION,WikiPathways,Tcon,SF_vs_PB_Tcon,2.14315632,0.49128553,1.74045453e-8,1.66442319e-6,137,52,IL2RB/CCL5/CCR5/IFNG/CXCR6/CXCL13/CXCR4/CD70/CCL3/TNFRSF18/IFNGR1/TNFRSF12A/XCL2/CCL4/IL18RAP/FASLG/LIF/TNF/CCL23/XCL1/CSF1/BMPR2/IL10/IL7/IL26/CCR2/IL15/CCR1/CCL20/CCL4L2/IL12RB2/TNFSF14/FAS/IL18R1/TNFSF4/CSF1R/TNFRSF9/CSF2/CXCL16/TNFSF9/IL1RN/TNFRSF1A/IL18/CCL2/IL13RA1/IL2RG/CXCL10/IL4R/IL21/IL15RA/TNFSF12/IL23R,up,FALSE
WP_T_CELL_MODULATION_AND_DESMOPLASIA_IN_PANCREATIC_CANCER,WP_T_CELL_MODULATION_AND_DESMOPLASIA_IN_PANCREATIC_CANCER,WikiPathways,Tcon,SF_vs_PB_Tcon,2.44832525,0.693743054,1.8049113e-8,1.66442319e-6,42,18,PDCD1/VDR/CXCR4/HAVCR2/LGALS3/PDGFA/FASLG/CTLA4/ENTPD1/IL10/CD86/CD276/FAS/TNFSF4/VEGFA/TNFRSF9/LGALS1/TNFSF9,up,FALSE
WP_CHEMOKINE_SIGNALING,WP_CHEMOKINE_SIGNALING,WikiPathways,Tcon,SF_vs_PB_Tcon,2.19147564,0.508915037,1.9627632e-8,1.66442319e-6,125,54,CXCR3/CCL5/CXCR6/CXCL13/CXCR4/CCL3/CCL4/PREX1/XCL1/GNG2/GNB4/PRKCD/KRAS/CCR2/NFKBIB/CCR1/CCL20/GNG4/DOCK2/NCF1/TIAM2/PRKX/IKBKG/GNB1/PIK3CG/NRAS/CXCL16/RAC1/GNG5/LYN/JAK3/HCK/ADCY7/GRK5/GNAI3/VAV2/SOS2/AKT1/MAPK1/STAT3/PIK3R3/CXCL10/PIK3R5/CCL17/VAV3/AKT3/ROCK1/PAK1/RELA/PTK2B/HRAS/ADCY9/XCR1/ARRB2,up,FALSE
