population,contrast,database,n_sets_scored_in_db,n_sets_aliased_out_of_pooling,n_tests_in_db,n_tests_pooled,sig_per_database,sig_pooled,sig_lost_to_pooling,sig_pooled_up,sig_pooled_down,pct_sig_per_database,pct_sig_pooled,top_pooled_up,top_pooled_up_nes,min_pvalue,n_at_min_pvalue
CD8,SF_vs_PB_CD8,GO_BP,5880,0,5880,11531,405,435,-30,381,54,6.9,7.4,GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,2.51913699,9.976785659999999e-51,1
CD8,SF_vs_PB_CD8,Reactome,1587,0,1587,11531,152,145,7,109,36,9.6,9.1,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,2.44839672,6.830121509999999e-51,1
CD8,SF_vs_PB_CD8,GO_CC,878,0,878,11531,100,92,8,77,15,11.4,10.5,GOCC_MHC_CLASS_II_PROTEIN_COMPLEX,2.46160914,8.32996118e-47,1
CD8,SF_vs_PB_CD8,WikiPathways,830,0,830,11531,88,80,8,74,6,10.6,9.6,WP_ALLOGRAFT_REJECTION,2.25978762,1.4660266399999998e-49,1
CD8,SF_vs_PB_CD8,GO_MF,1410,0,1410,11531,56,77,-21,60,17,4,5.5,GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING,2.46910502,2.02496025e-38,1
CD8,SF_vs_PB_CD8,TF_Targets,593,0,593,11531,67,55,12,52,3,11.3,9.3,RFXAP,2.36809012,2.22764638e-8,1
CD8,SF_vs_PB_CD8,KEGG,185,0,185,11531,33,29,4,27,2,17.8,15.7,KEGG_TYPE_I_DIABETES_MELLITUS,2.30159503,3.0654521199999992e-49,1
CD8,SF_vs_PB_CD8,Hallmark,50,0,50,11531,25,17,8,15,2,50,34,HALLMARK_INTERFERON_GAMMA_RESPONSE,2.35377659,7.58265847e-14,1
CD8,SF_vs_PB_CD8,MitoPathways,110,0,110,11531,3,4,-1,0,4,2.7,3.6,NA,NA,2.39396289e-6,1
CD8,SF_vs_PB_CD8,mouse_projection,3,0,3,11531,3,2,1,2,0,100,66.7,KO_heat_up,2.06409275,6.26766629e-8,1
CD8,SF_vs_PB_CD8,sting_axes,2,0,2,11531,2,1,1,1,0,100,50,ifn_only_up,2.60345181,2.08966781e-12,1
CD8,SF_vs_PB_CD8,HSR_lens,2,1,1,11531,0,0,0,0,0,0,0,NA,NA,0.254695073,1
CD8,SF_vs_PB_CD8,TCR_activation,1,0,1,11531,1,0,1,0,0,100,0,NA,NA,0.0455845032,1
CD8,SF_vs_PB_CD8,project_frozen,7,6,1,11531,6,0,0,0,0,85.7,0,NA,NA,1.39521641e-8,1
Tcon,SF_vs_PB_Tcon,GO_BP,6005,0,6005,11751,1025,1031,-6,980,51,17.1,17.2,GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,2.60172243,4.44601731e-40,1
Tcon,SF_vs_PB_Tcon,Reactome,1613,0,1613,11751,268,270,-2,234,36,16.6,16.7,REACTOME_INTERLEUKIN_10_SIGNALING,2.52648906,3.62216854e-45,1
Tcon,SF_vs_PB_Tcon,TF_Targets,602,0,602,11751,226,191,35,189,2,37.5,31.7,TBX21,2.57716344,1.46909347e-18,1
Tcon,SF_vs_PB_Tcon,WikiPathways,851,0,851,11751,189,181,8,176,5,22.2,21.3,WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,2.64350611,3.0196940099999997e-41,1
Tcon,SF_vs_PB_Tcon,GO_CC,890,0,890,11751,125,136,-11,119,17,14,15.3,GOCC_MHC_CLASS_II_PROTEIN_COMPLEX,2.46004889,3.5862831899999996e-37,1
Tcon,SF_vs_PB_Tcon,GO_MF,1437,0,1437,11751,95,133,-38,118,15,6.6,9.3,GOMF_CHEMOKINE_RECEPTOR_BINDING,2.50660514,1.8994928800000002e-30,1
Tcon,SF_vs_PB_Tcon,KEGG,185,0,185,11751,61,60,1,58,2,33,32.4,KEGG_ALLOGRAFT_REJECTION,2.52281902,2.6904180999999997e-41,1
Tcon,SF_vs_PB_Tcon,Hallmark,50,0,50,11751,38,31,7,29,2,76,62,HALLMARK_INTERFERON_GAMMA_RESPONSE,2.74423299,6.777280319999999e-22,1
Tcon,SF_vs_PB_Tcon,MitoPathways,110,0,110,11751,3,5,-2,0,5,2.7,4.5,NA,NA,3.17449627e-8,1
Tcon,SF_vs_PB_Tcon,mouse_projection,3,0,3,11751,2,2,0,2,0,66.7,66.7,WT_heat_up,2.68228025,1.7916907e-17,1
Tcon,SF_vs_PB_Tcon,sting_axes,2,0,2,11751,2,2,0,2,0,100,100,ifn_only_up,2.32913742,8.92266089e-9,1
Tcon,SF_vs_PB_Tcon,HSR_lens,2,1,1,11751,0,0,0,0,0,0,0,NA,NA,0.0843991551,1
Tcon,SF_vs_PB_Tcon,TCR_activation,1,0,1,11751,0,0,0,0,0,0,0,NA,NA,0.0505709906,1
Tcon,SF_vs_PB_Tcon,project_frozen,7,6,1,11751,5,0,0,0,0,71.4,0,NA,NA,3.38002656e-16,1
Treg,SF_vs_PB_Treg,GO_BP,5861,0,5861,11513,623,658,-35,639,19,10.6,11.2,GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,2.44067601,1.22081708e-30,1
Treg,SF_vs_PB_Treg,Reactome,1585,0,1585,11513,252,237,15,213,24,15.9,15,REACTOME_INTERLEUKIN_10_SIGNALING,2.64272258,7.14825944e-33,1
