pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,GO_MF,Treg,SF_vs_PB_Treg,-2.57258967,-0.561134717,1.82859653e-16,2.51432023e-13,156,79,RPL28/MRPS30/RPL23/RPL10/RPL35/RPL41/RPS9/MRPS31/RPLP1/DAP3/RPS10/RPS11/RPL36A/RPL24/RPS17/RPS16/RPS19/RPL14/RPL17/RPL15/RPS27A/RPS14/RPL7A/RPS25/RPS15/RPS29/RPL34/RPL35A/RPL19/RPL18A/RPL26/RPS24/RPL6/RPL12/UBA52/RPL11/RPL8/RPS20/RPL18/RPSA/RPS4X/RPL30/RPL38/RPS7/RPL32/RPL36/RPS27/RPL10A/RPL13/RPS28/RPL9/RPL27A/RPL27/RPL23A/RPL21/RPL37A/RPS15A/RPS12/RPL39/RPL31/RPS2/RPL29/RPS3/RPS5/RPS21/RPL5/RPL13A/RPS8/RPS23/RPL3/RPS18/RPS6/RPS13/RPL4/RPL37/RPL22/RPLP2/RPS3A/RPL7,down,FALSE
GOMF_CYTOKINE_ACTIVITY,GOMF_CYTOKINE_ACTIVITY,GO_MF,Treg,SF_vs_PB_Treg,2.50732323,0.632195538,8.85653931e-12,6.08887078e-9,87,33,NAMPT/IL1RN/CXCL13/CKLF/CCL4/IL10/OSM/EBI3/TIMP1/CSF1/TNF/FASLG/LTA/MIF/IL32/CCL20/CLCF1/CCL5/CSF2/GPI/CCL4L2/IL26/GRN/CCL3/CCL23/IL7/XCL1/BMP1/FAM3C/IL1A/CXCL16/CCL22/TNFSF12,up,FALSE
GOMF_CYTOKINE_RECEPTOR_BINDING,GOMF_CYTOKINE_RECEPTOR_BINDING,GO_MF,Treg,SF_vs_PB_Treg,2.21904036,0.516488795,1.02962471e-9,4.71911325e-7,148,76,IL1RN/CXCL13/CKLF/CCL4/IL23R/SOCS2/IL10/CD70/OSM/EBI3/NTRK1/CSF1/TNF/FASLG/FKBP1A/CISH/LTA/MIF/STAT3/BID/CCL20/CLCF1/CCL5/CSF2/NOL3/CCL4L2/LRG1/PDCL3/SPRED2/CCL3/CREB3/CCL23/IL7/XCL1/ECM1/EFNA5/CNIH4/CCR2/CCRL2/IL1A/TRAF1/CXCL16/CCL22/TNFSF12/FADD/TGFBR3L/TNFSF4/IL12RB1/LIF/TRAF3/TOLLIP/IFNL1/TGFBR1/TRIP6/CCDC88A/JAK3/RNF41/VEGFA/CCL2/SOCS3/CD40LG/SOCS1/ADAM8/CFLAR/SNX6/TRAF2/CXCL10/IFNG/TRIM37/PYCARD/SMAD7/TRAP1/TIMM50/MYD88/IL15/CCL1,up,FALSE
GOMF_ENZYME_INHIBITOR_ACTIVITY,GOMF_ENZYME_INHIBITOR_ACTIVITY,GO_MF,Treg,SF_vs_PB_Treg,1.90025023,0.411513786,1.57689589e-8,4.85712183e-6,266,76,CDKN1A/LGALS3/KAT2B/IQGAP1/SERPINB1/PRKAR1B/SERPINE2/FURIN/CST7/TIMP1/BST2/CIB1/SPINT1/NOTCH1/ANXA4/PRNP/PHPT1/PRKAR1A/SPOCK2/SERPINH1/RNH1/CDKN2D/ARPP19/YWHAG/DYNLL1/ANXA1/RTKN/ANXA2/PARP9/APLP2/CAST/SPRED2/PPT1/SERPINB8/PCSK1N/HMSD/PTTG1/PPP5C/LIMK1/ATP2B4/PPP1R14B/PPME1/GSKIP/GCHFR/CLSTN3/DTX3L/CAMK2N1/MBIP/CRIM1/CARD16/PPP1R16B/TMBIM6/PHACTR2/CSTB/LXN/ANXA5/DUSP3/YWHAB/NELFE/GMFB/SERPINE1/CD109/GAPDH/WFDC3/HSPB1/USP14/IFIT1/PPP1R16A/DNAJC3/TRIB3/HYAL2/HSP90B1/HTRA2/AKT1/TIPRL/PROS1,up,FALSE
GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING,GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING,GO_MF,Treg,SF_vs_PB_Treg,2.4518329,0.797302652,1.76622612e-8,4.85712183e-6,25,15,ATP1B1/CD74/PKM/HLA-DQA2/HLA-DMA/HLA-DRB1/HLA-DQB1/HLA-DRA/HLA-DRB5/HLA-DPB1/HLA-DPA1/CD4/HLA-DQA1/HSP90AB1/HLA-DMB,up,FALSE
GOMF_MHC_PROTEIN_COMPLEX_BINDING,GOMF_MHC_PROTEIN_COMPLEX_BINDING,GO_MF,Treg,SF_vs_PB_Treg,2.4106712,0.73982914,4.83112318e-8,1.10713239e-5,32,15,ATP1B1/CD74/PKM/HLA-DQA2/HLA-DMA/HLA-DRB1/HLA-DQB1/HLA-DRA/HLA-DRB5/HLA-DPB1/HLA-DPA1/CD4/HLA-DQA1/HSP90AB1/HLA-DMB,up,FALSE
GOMF_CCR_CHEMOKINE_RECEPTOR_BINDING,GOMF_CCR_CHEMOKINE_RECEPTOR_BINDING,GO_MF,Treg,SF_vs_PB_Treg,2.38703367,0.842406758,7.56813553e-8,1.48659805e-5,18,14,CXCL13/CCL4/STAT3/CCL20/CCL5/CCL4L2/CCL3/CREB3/CCL23/XCL1/CNIH4/CCR2/CCRL2/CCL22,up,FALSE
GOMF_CHEMOKINE_RECEPTOR_BINDING,GOMF_CHEMOKINE_RECEPTOR_BINDING,GO_MF,Treg,SF_vs_PB_Treg,2.34367153,0.743073742,2.99059944e-7,5.14009278e-5,28,16,CXCL13/CKLF/CCL4/STAT3/CCL20/CCL5/CCL4L2/CCL3/CREB3/CCL23/XCL1/CNIH4/CCR2/CCRL2/CXCL16/CCL22,up,FALSE
GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY,GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY,GO_MF,Treg,SF_vs_PB_Treg,2.17410159,0.557023013,3.55399886e-7,5.42972047e-5,79,31,SERPINB1/SERPINE2/FURIN/CST7/TIMP1/BST2/SPINT1/PRNP/SPOCK2/SERPINH1/ANXA2/APLP2/CAST/SERPINB8/PCSK1N/HMSD/PTTG1/PSMD14/CRIM1/AIM2/CARD16/ADRM1/CSTB/BAD/LXN/SERPINE1/CD109/GAPDH/PSME2/WFDC3/USP14,up,FALSE
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS,GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS,GO_MF,Treg,SF_vs_PB_Treg,2.31085017,0.659060829,4.60358752e-7,6.32993284e-5,45,20,CLIC1/PGK1/TXN/GLRX/GSTO1/PDIA4/QSOX1/COA7/PDIA3/TMX3/DNAJC10/MSRB1/PCYOX1L/TXNDC12/GLRX2/PDIA6/TXNDC17/SCO2/TXNRD1/SUOX,up,FALSE
