pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,GO_MF,CD8,SF_vs_PB_CD8,-3.36650469,-0.726979598,2.78250443e-38,3.84263862e-35,156,90,RPL26/MRPS30/MRPS35/MRPS9/MRPL10/RPL36A/MRPL34/MRPS33/RSL24D1/FAU/MRPS31/RPL17/RPS10/MRPS18B/MRPS2/RPL28/RPLP1/RPL41/RPL22L1/RPL24/DAP3/RPS4Y1/RPS19/MRPL45/RPL14/RPL10/RPL7A/RPS15A/RPS2/RPS27/RPL37A/RPL35A/RPS24/RPS15/RPS25/RPS27A/RPL38/RPS21/RPL35/RPL23A/RPS7/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPS9/RPL18/RPS28/RPS14/RPS16/RPL15/RPLP0/RPL27A/RPL11/RPS20/RPS11/RPL27/RPL39/RPS3/RPS4X/RPL31/RPL34/RPS23/RPL6/RPL13/RPL9/RPL13A/RPL19/RPSA/RPL18A/RPL29/RPL21/RPS5/RPS12/RPL4/RPLP2/RPL37/RPL32/RPL10A/RPL5/RPS8/RPS18/RPS6/RPL7/RPL22/RPS13/RPL3/RPS3A,down,FALSE
GOMF_RRNA_BINDING,GOMF_RRNA_BINDING,GO_MF,CD8,SF_vs_PB_CD8,-2.5634873,-0.646742493,7.88392863e-11,5.44385272e-8,62,34,EMG1/MRPL20/CIRBP/MRPL11/RPF2/DDX28/DDX21/UTP23/BRIX1/IMP3/GTPBP10/RPUSD4/DDX55/MRPS27/RPS4Y1/NPM1/RRS1/RPL23A/RPL12/RPL8/RPL23/RPS9/RPLP0/RPL11/EEF2/RPS11/RPS3/RPS4X/RPL9/RPS5/RPL37/RPL5/RPS18/RPS13,down,FALSE
GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING,GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING,GO_MF,CD8,SF_vs_PB_CD8,2.46436401,0.811457328,3.72878335e-9,1.71648327e-6,25,15,CD74/HLA-DQA2/HLA-DQB2/ATP1B1/HLA-DMA/PKM/HLA-DRA/HLA-DMB/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DPA1/HLA-DQB1/HLA-DPB1/CD81,up,FALSE
GOMF_MICROTUBULE_BINDING,GOMF_MICROTUBULE_BINDING,GO_MF,CD8,SF_vs_PB_CD8,1.96724089,0.443441148,1.35029766e-8,4.66190267e-6,217,85,KATNAL1/MX1/KIF20B/MAP4/STARD9/EZR/TPPP/NDC80/TBCB/EML2/KIF3C/KIF11/RACGAP1/CCDC88B/KIFC1/RAB11A/SKA2/KIF1C/GAPDH/REEP4/KIF3A/ARL3/JAKMIP1/PRC1/DNM2/CCP110/SSNA1/CENPE/ENKD1/MAP1S/TUBA1A/CAMSAP1/KIF21A/MAP1A/CCDC88A/NUSAP1/KIFC2/PSRC1/MARK4/RCC2/GOLGA2/KIF18B/LUZP1/KIF18A/KIF23/BCL2L11/EML3/NDRG1/CENPF/JAKMIP2/KATNB1/KIF14/MAP7D3/GAS2L1/WDR90/NUMA1/MAST2/SNCA/SKA3/CDK5RAP2/KATNA1/KIF24/CKAP5/KIF5A/TUBGCP5/CLASP1/KIF21B/KIF5B/FMR1/PAFAH1B1/KIF3B/KIF1B/SPAG5/SKA1/FAM161A/KIF22/CCSER2/KNSTRN/GTSE1/KIF4A/DIAPH3/KIF13B/CLIP1/GAS2L3/STIM1,up,FALSE
GOMF_TUBULIN_BINDING,GOMF_TUBULIN_BINDING,GO_MF,CD8,SF_vs_PB_CD8,1.88339249,0.410503292,2.20891914e-8,6.10103466e-6,297,108,KATNAL1/MX1/KIF20B/MAP4/STARD9/EZR/TPPP/NDC80/TBCD/TBCB/EML2/PDCD5/KIF3C/KIF11/RACGAP1/CCDC88B/FAM110C/B9D2/KIFC1/RAB11A/SKA2/KIF1C/GAPDH/REEP4/KIF3A/ARL3/BRCA2/JAKMIP1/TRIM36/PRC1/DNM2/CCP110/SSNA1/CENPE/ENKD1/SYT11/MAP1S/TUBA1A/DAG1/CAMSAP1/KIF21A/MAP1A/CCDC88A/ARL8A/NUSAP1/HDGF/TAOK1/KIFC2/PSRC1/IFT81/MARK4/PDE4B/RCC2/GOLGA2/KIF18B/HTT/DIXDC1/LUZP1/SMC3/KIF18A/KIF23/BCL2L11/PAK1/EML3/NDRG1/CENPF/JAKMIP2/KATNB1/KIF14/MAP7D3/GABARAPL1/GAS2L1/WDR90/NUMA1/MAST2/SNCA/SKA3/CDK5RAP2/KATNA1/KIF24/CKAP5/GIT1/KIF5A/TUBGCP5/TTLL7/CLASP1/KIF21B/KIF5B/FMR1/PAFAH1B1/KIF3B/KIF1B/SPAG5/SKA1/FAM161A/TTLL4/KIF22/CCSER2/KNSTRN/GTSE1/KIF4A/TPPP3/BRCA1/DIAPH3/KIF13B/CLIP1/GAS2L3/STIM1,up,FALSE
GOMF_ACTIN_BINDING,GOMF_ACTIN_BINDING,GO_MF,CD8,SF_vs_PB_CD8,1.85366043,0.4051392,6.34861551e-8,1.46123967e-5,288,108,CAPG/YWHAH/MYO1C/ACTN4/PLEC/LSP1/MYO7A/EZR/FHOD1/IQGAP1/HIP1/TAGLN2/CCR5/MICAL1/NOD2/ANG/FMNL3/COTL1/PDLIM7/CTNNA1/CORO1B/MYO5A/RUSC1/FMNL1/VASH1/SPTBN5/CACNB2/PDLIM1/SYNE3/IQGAP3/GSN/CEACAM1/PARVG/DMTN/TWF2/FSCN1/TPM4/TTN/MYO18A/LASP1/S100A4/ANKRD35/ITGB1/MSRB1/MAP1S/PHPT1/DAG1/CAPZA2/PDLIM4/TLN1/TMOD3/MAP1A/CCDC88A/FLII/SSH1/HDGF/SNTB2/MICALL1/MYO9B/WIPF2/TMSB4X/EHBP1L1/WIPF1/MYH9/CORO2A/TRIOBP/PARVB/DIAPH1/CFL1/DIXDC1/LUZP1/KIF18A/MSN/CORO1C/EPS8L2/MTSS1/ANLN/GIPC1/CAP1/SYNE2/WASF2/INPPL1/IQGAP2/TPM3/MYO19/GAS2L1/CORO7/SNCA/TNNI2/SMTN/MYO9A/NEBL/ABL1/ARPC2/TMSB15A/KLHL2/CTNNAL1/EPB41L3/TNS4/AFAP1/ARPC4/STK38L/SNTA1/SPTAN1/DIAPH3/FRG1/MARCKS/GAS2L3,up,FALSE
GOMF_POLYPEPTIDE_CONFORMATION_OR_ASSEMBLY_ISOMERASE_ACTIVITY,GOMF_POLYPEPTIDE_CONFORMATION_OR_ASSEMBLY_ISOMERASE_ACTIVITY,GO_MF,CD8,SF_vs_PB_CD8,2.19083946,0.56700456,2.00512708e-7,3.95582928e-5,81,41,KATNAL1/MYO1C/KIF20B/MYL6/MYO7A/STARD9/KIF3C/KIF11/MYO5A/KIFC1/DYNLRB1/KIF1C/KIF3A/DYNC1I2/PSMC1/CENPE/DYNC2H1/KIF21A/PSMC3/KIFC2/MYO9B/DYNC1H1/MYH9/KIF18B/SMC3/KIF18A/KIF23/PSMC2/KIF14/MYO19/KATNA1/KIF24/KIF5A/KIF21B/KIF5B/KIF3B/KIF1B/MYO9A/KIF22/KIF4A/KIF13B,up,FALSE
GOMF_CYTOSKELETAL_MOTOR_ACTIVITY,GOMF_CYTOSKELETAL_MOTOR_ACTIVITY,GO_MF,CD8,SF_vs_PB_CD8,2.1716386,0.574790991,3.6020696e-7,6.21807264e-5,71,37,MYO1C/KIF20B/MYL6/MYO7A/STARD9/KIF3C/KIF11/MYO5A/KIFC1/DYNLRB1/KIF1C/KIF3A/DYNC1I2/CENPE/DYNC2H1/KIF21A/KIFC2/MYO9B/DYNC1H1/MYH9/KIF18B/PIN1/SMC3/KIF18A/KIF23/KIF14/MYO19/KIF24/KIF5A/KIF21B/KIF5B/KIF3B/KIF1B/MYO9A/KIF22/KIF4A/KIF13B,up,FALSE
GOMF_ACTIN_FILAMENT_BINDING,GOMF_ACTIN_FILAMENT_BINDING,GO_MF,CD8,SF_vs_PB_CD8,1.94239358,0.463961577,1.28348226e-6,1.96943222e-4,137,58,CAPG/MYO1C/ACTN4/PLEC/MYO7A/EZR/FHOD1/IQGAP1/HIP1/TAGLN2/MICAL1/FMNL3/COTL1/CTNNA1/CORO1B/MYO5A/FMNL1/SPTBN5/CACNB2/SYNE3/IQGAP3/GSN/DMTN/TWF2/FSCN1/TPM4/TTN/MYO18A/LASP1/MAP1S/PHPT1/CAPZA2/TLN1/FLII/MICALL1/MYO9B/EHBP1L1/MYH9/CORO2A/TRIOBP/CFL1/LUZP1/CORO1C/IQGAP2/TPM3/MYO19/GAS2L1/CORO7/MYO9A/NEBL/ABL1/ARPC2/CTNNAL1/ARPC4/SPTAN1/FRG1/MARCKS/GAS2L3,up,FALSE
GOMF_MHC_PROTEIN_COMPLEX_BINDING,GOMF_MHC_PROTEIN_COMPLEX_BINDING,GO_MF,CD8,SF_vs_PB_CD8,2.18930548,0.671183898,1.74987679e-6,2.41657984e-4,34,16,CD74/HLA-DQA2/HLA-DQB2/ATP1B1/HLA-DMA/PKM/HLA-DRA/HLA-DMB/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DPA1/HLA-DQB1/CD8A/HLA-DPB1/CD81,up,FALSE
