pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
NFKB1,NFKB1,TF_Targets,Treg,SF_vs_PB_Treg,2.35686406,0.507027566,3.6832367399999996e-17,1.34990583e-14,281,117,CDKN1A/NAMPT/TNFRSF4/IL1RN/CD74/SERPINB1/SDC4/TNFRSF18/CCL4/GADD45G/CCR5/BCL3/CTSB/FOXP3/CD58/IL2RA/IL10/STAT4/CD2/EBI3/TIMP1/LGALS1/CSF1/TNF/HSPA1A/CD80/FASLG/NR4A1/S100A6/LTA/MIF/CRMP1/PTHLH/CCND2/VIM/PDGFA/MAF/IL32/BCL2L1/CD4/CCL20/CCL5/CSF2/NFKBID/ICAM1/CD99/CEACAM1/TBX21/TANK/CCL3/CREB3/ITGAX/NCOR2/HIF1A/KIAA1279/UPP1/NOS3/CCR2/HLA-A/TNIP3/ALOX5AP/NQO1/IRF7/ATF3/IL1A/MMP9/CASP9/TRAF1/CCL22/CXCR4/PRF1/TAP1/NCAM1/EGR1/HLA-F/SERPINE1/TCIRG1/TNFRSF9/TNFSF4/PLAU/PLAUR/HBEGF/SQSTM1/HSPA1B/EIF4E/ABCA1/FN1/DDIT3/NFKB2/NFKBIA/PTGS1/FAS/IFNL1/ME3/AKT1/B2M/FAF1/UBE2B/VEGFA/ADORA2A/CCL2/PGLYRP2/TAPBP/HMOX1/SOCS3/GCA/OPTN/CD40LG/GADD45B/CFLAR/HSPA5/NCOR1/TRAF2/CXCL10/IFNG/STK39/IER3,up,FALSE
HIF1A,HIF1A,TF_Targets,Treg,SF_vs_PB_Treg,2.33082849,0.498711971,4.54513747e-17,1.34990583e-14,296,110,BHLHE40/CDKN1A/NAMPT/LGALS3/PKM/DDIT4/SDC4/CCL4/S100A11/FURIN/FOXP3/IL10/TIMP1/PGK1/FSCN1/LGALS1/ENO1/CD151/S100A4/TNF/HSPA1A/TXN/NR4A1/NTRK2/CISH/MIF/ID2/PRNP/STAT3/BID/VIM/SLC2A3/BSG/BCL2L1/CCL5/KDM5B/EPAS1/LDHA/EBP/HSP90AB1/ANKRD37/EIF4EBP1/CD274/CTSD/PGAM1/NCOR2/HIF1A/PPARG/GSN/VMP1/PFKFB3/PPP5C/NEDD9/GK/ENO2/CD44/TWIST1/ALOX5AP/QSOX1/PTK6/ITGAM/VLDLR/PRMT1/MUC1/NBN/MMP9/CAPG/ITGB2/CXCR4/ATPIF1/FECH/SERPINE1/TCIRG1/PLAU/GAPDH/PLAUR/GBE1/ZNF267/HBEGF/HSPA1B/MATK/EIF4E/ANG/SLC2A1/SLC11A2/ABCA1/FN1/NDRG1/PRDX3/ALDOA/EDNRB/CXCR1/HSP90B1/UCP2/BNIP3L/HK2/FASN/AKT1/RBMS1/SLC29A1/LEPR/VEGFA/CCL2/HMOX2/FLT1/HMOX1/PARK7/MST1R/SOCS1/MLH1,up,FALSE
STAT3,STAT3,TF_Targets,Treg,SF_vs_PB_Treg,2.29360103,0.492255795,1.47628825e-15,2.92305074e-13,287,114,CDKN1A/CXCR6/IL1RN/GADD45G/S100A11/CCR5/SOCS2/BCL3/FOXP3/IL2RA/IL10/OSM/VDR/TIMP1/BATF/FSCN1/BST2/TNF/HSPA1A/FASLG/CISH/MIF/CD9/NOTCH1/STAT3/CCND2/VIM/CLU/ENTPD1/MAF/BCL2L1/CDKN2D/PIM1/CCL20/CCL5/OAS1/ANXA1/EIF6/TNFRSF1B/EPAS1/HSP90AB1/ICAM1/TP63/CD274/CTNNB1/IL7/RALGDS/EED/ARID5A/PSMB5/HIF1A/CTTN/PTTG1/SBNO2/NOS3/ENO2/TWIST1/FOS/PRDM1/PTK6/ITGAM/MUC1/F2R/MMP9/IFI16/BAD/ITGB2/PRF1/C10orf10/PNP/SREBF1/EGR1/MAPK8/CSRP1/FOXO1/HSPA1B/PIAS3/LIF/ICOS/HSPB1/ABCA1/FN1/DDIT3/PHB/CIITA/TSPO/FAS/XAF1/ACTG2/UCP2/KLF4/HK2/FASN/AKT1/SETD7/PROS1/CCDC88A/JAK3/VEGFA/CCL2/HMOX1/SOCS3/NME1/PFN1/SOCS1/HRAS/LGALS3BP/GADD45B/CFLAR/EIF5B/ABCA3/CXCL10/MT1A/IFNG,up,FALSE
CREB1,CREB1,TF_Targets,Treg,SF_vs_PB_Treg,2.23658019,0.480538964,2.58093969e-14,3.83269544e-12,284,113,CDKN1A/SKIL/PKM/SDC4/CCL4/GADD45G/CCR5/CREM/CTSB/FOXP3/IL2RA/IL10/HLA-DQB1/SLC39A1/STAT4/PDE4D/MCAM/HLA-DRA/PDLIM7/FSCN1/ENO1/TNF/HSPA1A/NTRK2/MIF/TMEM173/NR5A2/PTHLH/STAT3/CCND2/ENTPD1/SLC2A3/LAPTM4B/IL32/BCL2L1/CD4/CCL5/CHGB/LDLR/GEM/LDHA/ICAM1/ATP6V0B/GZMB/CYCS/GALNT1/CTNNB1/CCL3/CD68/ACSL4/HIF1A/PPARG/NAGS/EGR3/NOS3/FOS/PDE4B/IRF7/ATF3/HERPUD1/MMP9/NDUFA4/CPD/CCL22/CXCR4/CARS/SCD/SLC20A1/EGR1/SERPINE1/PLAU/SQSTM1/HSPA1B/ANG/ATP2A2/SLC2A1/ABCA1/ADARB1/FN1/COX8A/PSEN1/SLC19A1/FOSL1/RAB18/NR4A3/HPGD/CD3D/CIITA/CYP51A1/DOT1L/HK2/AKT1/PPP2R4/VEGFA/CCL2/PNPLA6/FLT1/HMOX1/KCNC3/CGA/FOSB/GADD45B/HMGCR/PSENEN/PPP2R2B/ZNF268/HSPA5/ORMDL3/IFNG/DIABLO/UQCRQ/ETV6/FILIP1L,up,FALSE
SP3,SP3,TF_Targets,Treg,SF_vs_PB_Treg,2.10857488,0.459136987,1.99822151e-11,2.37388716e-9,251,79,APOBEC3G/CDKN1A/ATP1B1/TNFRSF4/PLA2G16/TYMP/CD74/PKM/GPR56/CTSB/UCP3/FOXP3/IL10/CD97/TIMP1/PDLIM7/LMNA/TNFRSF8/CSF1/TNF/FASLG/FKBP1A/CYP7B1/NOTCH1/SGK1/SERPINH1/VIM/PDGFA/SLC2A3/BSG/TCN2/EMC7/OAS1/LDLR/EPAS1/EIF2AK2/ITGAX/FGL2/KIAA1279/PTTG1/TPMT/NOS3/CD44/PRDM1/KRAS/ATF3/IGFBP4/IL1A/F2R/ITGA3/DNASE2/FKBP1B/B3GNT9/ITGA2/SREBF1/CTSL/MAPK8/PLAU/PLAUR/PAPSS1/HBEGF/PCYT1A/SQSTM1/HSPA1B/ANG/ATP2A2/SLC2A1/UBC/ABCA1/RRAS/SLC19A1/PSAP/PTGS1/TSPO/FAS/TGFBI/FASN/PPP2R4/PROS1,up,FALSE
EGR1,EGR1,TF_Targets,Treg,SF_vs_PB_Treg,2.17534767,0.479710801,2.75106794e-11,2.72355726e-9,225,89,CDKN1A/KAT2B/CD74/IL2RB/CCL4/CCR5/FOXP3/OSM/TIMP1/PGK1/SLC6A6/CSF1/TNF/DUSP4/SPINT1/FASLG/NR4A1/CISH/IFNGR1/ID2/NAB2/GADD45A/SGK1/STIM1/CCND2/PDGFA/CHGB/LDLR/CTNNA1/TNFRSF1B/ICAM1/CTNNB1/PTPN1/CD82/HIF1A/PPARG/GSN/TP73/CD44/FOS/PRDM1/ALOX5AP/KRAS/ATF3/SLC4A2/CLEC7A/IL1A/F2R/MMP9/PPAP2A/TAP1/SREBF1/EGR1/CTSL/SERPINE1/PLAU/GAPDH/SOD1/PLAUR/PSEN2/HBEGF/YES1/ATP2A2/EGR2/SLC12A5/UBC/ELK1/FN1/CHRNE/NDRG1/PIN1/FAS/PTRF/KLF4/CASP1/MAP1LC3A/AKT1/SRF/ALAS1/TCF4/VEGFA/PTP4A1/TFG/CCL2/FLT1/HMOX1/CD40LG/MST1R/SOCS1,up,FALSE
PPARG,PPARG,TF_Targets,Treg,SF_vs_PB_Treg,2.15120494,0.474994034,4.61710313e-11,3.9179418e-9,222,86,CDKN1A/NAMPT/PLA2G16/PKM/SERPINE2/UCP3/FOXP3/IL10/PGK1/PEA15/CSF1/PFKP/TNF/HSPA1A/FASLG/MIF/ADSS/GADD45A/SGK1/STAT3/SLC27A4/MAF/BCL2L1/CCL20/CCL5/LDLR/VDAC1/ICAM1/CTNNB1/CYBA/CCL3/SREBF2/S100A2/GK/NOS3/CCR2/CD44/FOS/PRPS1/VLDLR/MUC1/ACSL1/HSPA9/MPO/MMP9/APMAP/KLF6/BAD/PPAP2A/DDAH2/SCD/SREBF1/CALR/NFKBIB/EGR1/CTSL/SERPINE1/SOD1/ERP44/ATP2A2/PON2/SLC2A1/ABCA1/FN1/AGPAT6/DDIT3/NFKBIA/NDRG1/CXCR1/CIITA/FAS/ACTG2/UCP2/KLF4/HK2/TGFBR1/PLIN2/GOT1/LEPR/VEGFA/CCL2/FLT1/PTPN11/HMOX1/SOCS3/ERO1L,up,FALSE
ATF3,ATF3,TF_Targets,Treg,SF_vs_PB_Treg,2.48990804,0.647911849,9.2602163e-11,6.8757106e-9,73,41,CDKN1A/CCL4/GADD45G/SERPINE2/IL10/HLA-DRB1/CSF1/TNF/PCK2/GADD45A/CCL5/LDLR/EPAS1/EBP/ADIPOR1/EIF2AK2/CCL3/CD82/AK4/GSN/KIAA1279/DHDDS/TWIST1/KRAS/ATF3/MMP9/EGR1/MAPK8/SERPINE1/LIF/HSPB1/FN1/DDIT3/NFKB2/VEGFA/CLIP1/CCL2/GADD45B/MAP1LC3B/HSPA5/IFNG,up,FALSE
FOS,FOS,TF_Targets,Treg,SF_vs_PB_Treg,2.16572092,0.485716508,1.48292441e-10,9.7873011e-9,195,84,CDKN1A/ACP5/IL1RN/CCR5/CREM/IL2RA/IL10/TIMP1/FOSL2/CSF1/TNF/NR4A1/ERCC1/PCK2/CCND2/PDGFA/CLU/HCST/MAF/BCL2L1/ILK/CCL20/CCL5/CHGB/LDLR/CSF2/RHOA/EZR/ICAM1/RAB11A/CYBA/CTSD/ITGAX/TP53BP1/UPP1/DHDDS/CD44/FOS/PRDM1/NQO1/IL1A/MMP9/CASP9/SAR1B/CXCL16/MT1E/TIMM17A/NELFE/PES1/SERPINE1/TNFSF4/PLAU/HSPH1/PLAUR/HBEGF/NOTCH2/FN1/BATF3/DYNC1H1/DDIT3/NFKBIA/UGCG/FOSL1/JUND/PIN1/CIITA/FAS/FASN/UBE2B/VEGFA/CCL2/FLT1/HMOX1/SOCS3/CALM1/PLAGL1/CD40LG/FOSB/ACTB/CFLAR/HSPA5/PDHA1/MT1A/IFNG,up,FALSE
STAT1,STAT1,TF_Targets,Treg,SF_vs_PB_Treg,2.08426322,0.459301528,4.23456071e-10,2.51532906e-8,226,57,CDKN1A/LGALS3/IFI6/CCR1/CREM/SOCS2/CTSB/FOXP3/IL2RA/IL10/OSM/TIMP1/FSCN1/BST2/MVP/CSF1/TNF/IGFLR1/IL1R1/ETV7/FASLG/LAP3/IFNGR1/GADD45A/STAT3/VIM/CLU/ISG15/PIM1/CCL5/OAS1/S100A10/RHOA/IFI35/ICAM1/EIF2AK2/MAPKAPK2/TBX21/CD274/CCL3/LY96/MX1/MAN1A1/FGL2/PPARG/TP53BP1/SBNO2/UPP1/TP73/HLA-A/FOS/IRF7/TRIM25/AIM2/MUC1/ACSL1/MMP9,up,FALSE
