pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,Hallmark,CD8,SF_vs_PB_CD8,2.35377659,0.541194187,7.58265847e-14,3.79132924e-12,183,70,CD74/OASL/CDKN1A/MX1/RSAD2/HELZ2/MVP/OAS3/SAMD9L/ZBP1/HLA-DMA/ISG15/CMPK2/USP18/IL2RB/LAP3/LY6E/CCL5/IFI35/IRF7/EPSTI1/CIITA/SOCS1/HLA-DRB1/HLA-DQA1/PFKP/EIF2AK2/TDRD7/NAMPT/CD86/FAS/UPP1/IFIT1/DDX60/PLSCR1/IFI44L/ST8SIA4/TRIM25/PML/MTHFD2/FGL2/IFIH1/ISG20/XCL1/CASP3/CCL2/DHX58/AUTS2/ZNFX1/IFI30/IFIT3/MT2A/IL4R/PDE4B/XAF1/SRI/TAP1/IRF9/CASP7/PARP12/TNFSF10/IFI44/GZMA/RNF213/PARP14/VAMP8/TAPBP/HLA-G/RBCK1/TRIM21,up,FALSE
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,Hallmark,CD8,SF_vs_PB_CD8,2.10048094,0.477830455,5.48554961e-10,1.3713874e-8,200,101,CDKN1A/SMC4/TCF19/CDKN2A/RACGAP1/SMC6/HN1/UBE2T/CKS1B/PTTG1/CDK1/BARD1/LMNB1/WEE1/BRCA2/CDKN2C/MTHFD2/CCP110/MCM6/CENPE/TUBG1/SNRPB/PRDX4/CKS2/NUDT21/DCTPP1/MELK/RFC2/BUB1B/TOP2A/CTCF/PSMC3IP/CENPM/RAD51AP1/KIF18B/AURKA/SPC25/EZH2/ATAD2/SMC3/GINS1/E2F8/GSPT1/MXD3/POLE/NUP153/PCNA/MLH1/CDCA3/RPA3/ESPL1/CHEK1/MAD2L1/RANBP1/CDCA8/WDR90/MCM3/DEK/EIF2S1/HMGB2/TFRC/KPNA2/SPAG5/USP1/ASF1B/HELLS/UBR7/TRIP13/POP7/KIF22/EED/PLK4/SMC1A/KIF4A/POLD3/BRCA1/DIAPH3/MCM2/MYBL2/MCM4/HMGB3/TIMELESS/MCM5/CIT/RAD21/MCM7/ORC6/NASP/DEPDC1/KIF2C/SRSF2/NAA38/MKI67/CDKN3/TMPO/AURKB/RFC3/POLD1/LIG1/SPC24/PRPS1,up,FALSE
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,Hallmark,CD8,SF_vs_PB_CD8,2.11390042,0.486040446,1.37654755e-9,2.29424591e-8,183,97,ACTN4/KIF20B/EZR/SMC4/NDC80/ECT2/TBCD/KIF3C/KIF11/RACGAP1/CYTH2/ABR/CDK1/AKAP13/DOCK2/LMNB1/PREX1/ARHGDIA/CNTRL/CNTROB/GSN/BRCA2/PRC1/FSCN1/PLEKHG2/ARHGEF12/CENPE/SAC3D1/ROCK1/MAP1S/CCDC88A/ARL8A/NUSAP1/TOP2A/NOTCH2/MYO9B/DYNC1H1/MARK4/ALMS1/MYH9/AURKA/FARP1/SMC3/TUBA4A/AZI1/ARF6/ANLN/KIF23/FBXO5/CDC42EP4/BCL2L11/KNTC1/CENPF/WASF2/ESPL1/KATNB1/NUMA1/TPX2/CDK5RAP2/KATNA1/LLGL1/CKAP5/TUBGCP5/CLASP1/KIF5B/RHOT2/PAFAH1B1/KIF3B/KIF1B/CENPJ/ARAP3/ABL1/YWHAE/NEK2/RHOF/KIF22/TTK/STK38L/SMC1A/KIF4A/PCM1/SPTAN1/MARCKS/CLIP1/TAOK2/SOS1/RALBP1/STAU1/MAPRE1/KIF2C/HDAC6/ATG4B/RANBP9/RASA1/HOOK3/KIF15/CEP250,up,FALSE
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,Hallmark,CD8,SF_vs_PB_CD8,2.0420859,0.466804365,9.27980847e-9,9.60068382e-8,192,104,BCL3/KIF20B/SMC4/NDC80/KIF11/RACGAP1/HN1/CKS1B/PTTG1/CDK1/BARD1/LMNB1/SQLE/SLC7A5/TLE3/BRCA2/CDKN2C/PML/PRC1/CASC5/MCM6/CENPE/CKS2/TFDP1/NUSAP1/WHSC1/TOP2A/NOTCH2/CTCF/MT2A/RBL1/UBE2C/AURKA/EZH2/EFNA5/SMC2/KIF23/FBXO5/GSPT1/E2F2/POLE/CENPF/SS18/ESPL1/CHEK1/MAD2L1/STIL/SAP30/MCM3/NUMA1/CHMP1A/TPX2/KATNA1/KIF5B/PAFAH1B1/KPNA2/ABL1/NEK2/BUB3/KIF22/PLK4/TTK/SMC1A/KIF4A/ODC1/CDC45/MARCKS/EXO1/MCM2/CCNA2/MNAT1/MYBL2/CENPA/HMGB3/E2F1/MCM5/RAD54L/CDC7/RAD21/ORC6/POLQ/NASP/KIF2C/PBK/DTYMK/SRSF2/CCNF/SMARCC1/TNPO2/TRAIP/DMD/KIF15/DR1/MKI67/UPF1/CUL3/CDKN3/TMPO/AURKB/INCENP/FANCC/RBM14/TGFB1/HIF1A,up,FALSE
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,Hallmark,CD8,SF_vs_PB_CD8,-2.00636865,-0.419407605,1.0837359e-8,9.60068382e-8,198,53,EIF4A1/SF3A1/GLO1/DDX21/CCT7/CNBP/HNRNPA2B1/NOP56/HSPE1/CCT4/DDX18/SNRPD2/RPS10/PHB/SSB/MRPS18B/CUL1/HSPD1/CANX/NCBP2/EIF3D/CCT3/POLE3/HNRNPC/HSP90AB1/SRSF1/HNRNPA1/GNL3/RPL14/ABCE1/KARS/PHB2/C1QBP/RPS2/NPM1/NOLC1/IMPDH2/APEX1/RPL18/RSL1D1/GNB2L1/G3BP1/PABPC1/RPLP0/MYC/RPS3/RPL34/RPL6/FBL/RPS5/RPS6/RPL22/EEF1B2,down,FALSE
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,Hallmark,CD8,SF_vs_PB_CD8,2.22776361,0.563777663,1.15208206e-8,9.60068382e-8,93,36,CD74/OASL/MX1/CSF1/RSAD2/HELZ2/SAMD9L/ISG15/CMPK2/USP18/LAP3/LY6E/IFI35/IRF7/EPSTI1/OAS1/EIF2AK2/TDRD7/DDX60/PLSCR1/IFI44L/TRIM25/LAMP3/IFIH1/ISG20/DHX58/SAMD9/IFI30/IFIT3/IL4R/CNP/TAP1/IRF9/PARP12/PARP9/IFI44,up,FALSE
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,Hallmark,CD8,SF_vs_PB_CD8,2.06859978,0.495116795,7.8755435e-8,5.62538821e-7,135,55,CDKN1A/CD44/CD2/LMNA/EMP1/LGALS3/GNA15/SMAD7/CLU/PSEN1/FASLG/BTG3/ANXA1/F2R/JUN/PEA15/FAS/ENO2/BNIP3L/ERBB3/RHOB/TNFRSF12A/GSN/WEE1/TSPO/TIMP2/MCL1/ROCK1/CYLD/ISG20/CASP3/PPT1/TOP2A/CASP6/CDK2/BMF/TAP1/CASP7/TNFSF10/BIK/BID/RARA/ATF3/BCL2L11/PAK1/ANKH/IGFBP6/TNF/CFLAR/PPP3R1/FDXR/HMGB2/CASP9/RHOT2/BIRC3,up,FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,Hallmark,CD8,SF_vs_PB_CD8,2.16816942,0.583099857,1.15459751e-6,7.21623446e-6,65,30,S100A11/ANXA5/FAM129A/ANTXR2/LGALS3/CD9/CLU/FABP5/ALCAM/LDLR/SREBF2/GLDC/SQLE/PLSCR1/TNFRSF12A/CPEB2/FASN/CXCL16/FBXO6/GUSB/ATF3/PPARG/TP53INP1/PMVK/ACAT2/HMGCR/MVD/STARD4/STX5/TRIB3,up,FALSE
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,Hallmark,CD8,SF_vs_PB_CD8,1.86094839,0.431877316,3.10154036e-6,1.72307798e-5,170,63,CAPG/GLIPR2/PHLDA1/MYO1C/ADAM19/CD44/RGS16/PLEC/CSF1/EMP1/SLC1A5/AHNAK/IL2RB/KLF6/CTSZ/ALCAM/SOCS1/AHR/TRAF1/CD86/RNH1/BHLHE40/IL10/PLSCR1/RHOB/ICOS/ANXA4/TNFRSF18/BMPR2/CD81/MAPKAPK2/FGL2/PHTF2/SYT11/CASP3/ITGAE/CTLA4/PPAP2A/IL4R/CSF2/FAH/SPP1/TNFSF10/IL1R2/GALM/NDRG1/BATF/TNFRSF9/GABARAPL1/SPRED2/RABGAP1L/IKZF4/EOMES/NCOA3/IL2RA/IFITM3/ODC1/TTC39B/CCR4/GSTO1/BATF3/CCND2/TNFRSF4,up,FALSE
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,Hallmark,CD8,SF_vs_PB_CD8,1.80002894,0.426626647,3.68207745e-5,1.84103873e-4,145,44,CDKN1A/SLC6A6/ANXA2/SDC4/IDS/KLF6/RBPJ/PFKP/JUN/GPC1/PRKCDBP/LDHA/ENO2/BNIP3L/KDELR3/PGK1/SLC2A1/BHLHE40/GAPDH/AK4/ENO1/SLC25A1/PRDX5/NAGK/ISG20/S100A4/JMJD6/LXN/TGFBI/GALK1/CASP6/TPI1/PFKFB3/MT2A/PFKL/MYH9/PGM1/ATF3/MIF/NDRG1/GPI/DDIT4/PAM/SAP30,up,FALSE
