population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 17 sets at pooled FDR < 0.05,1,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon-gamma Response,up,2.35377659,0.541194187,7.58265847e-14,3.79132924e-12,2.08198137e-11,Hallmark,183,70,0.382513661
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 17 sets at pooled FDR < 0.05,2,HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon-alpha Response,up,2.22776361,0.563777663,1.15208206e-8,9.60068382e-8,1.60070004e-6,Hallmark,93,36,0.387096774
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 17 sets at pooled FDR < 0.05,3,HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,up,2.16816942,0.583099857,1.15459751e-6,7.21623446e-6,9.86282854e-5,Hallmark,65,30,0.461538462
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 17 sets at pooled FDR < 0.05,4,HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,up,2.11390042,0.486040446,1.37654755e-9,2.29424591e-8,2.36930542e-7,Hallmark,183,97,0.530054645
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 17 sets at pooled FDR < 0.05,5,HALLMARK_E2F_TARGETS,E2f Targets,up,2.10048094,0.477830455,5.48554961e-10,1.3713874e-8,1.0041168e-7,Hallmark,200,101,0.505
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 17 sets at pooled FDR < 0.05,6,HALLMARK_APOPTOSIS,Apoptosis,up,2.06859978,0.495116795,7.8755435e-8,5.62538821e-7,9.36296573e-6,Hallmark,135,55,0.407407407
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 17 sets at pooled FDR < 0.05,7,HALLMARK_G2M_CHECKPOINT,G2m Checkpoint,up,2.0420859,0.466804365,9.27980847e-9,9.60068382e-8,1.3378043e-6,Hallmark,192,104,0.541666667
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 17 sets at pooled FDR < 0.05,8,HALLMARK_MYC_TARGETS_V1,Myc Targets V1,down,-2.00636865,-0.419407605,1.0837359e-8,9.60068382e-8,1.52410274e-6,Hallmark,198,53,0.267676768
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 17 sets at pooled FDR < 0.05,9,HALLMARK_MYC_TARGETS_V2,Myc Targets V2,down,-1.94161188,-0.497598446,1.18011591e-4,4.91714963e-4,0.00392192988,Hallmark,58,29,0.5
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 17 sets at pooled FDR < 0.05,10,HALLMARK_IL2_STAT5_SIGNALING,IL-2/STAT5 Signaling,up,1.86094839,0.431877316,3.10154036e-6,1.72307798e-5,2.27815054e-4,Hallmark,170,63,0.370588235
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 17 sets at pooled FDR < 0.05,11,HALLMARK_ANGIOGENESIS,Angiogenesis,up,1.81554672,0.692251189,0.00347327903,0.0102155265,0.0452075099,Hallmark,14,10,0.714285714
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 17 sets at pooled FDR < 0.05,12,HALLMARK_HYPOXIA,Hypoxia,up,1.80002894,0.426626647,3.68207745e-5,1.84103873e-4,0.00166516538,Hallmark,145,44,0.303448276
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 17 sets at pooled FDR < 0.05,13,HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNF-alpha Signaling via NF-kappaB,up,1.70475303,0.39562847,7.81446672e-5,3.55203033e-4,0.00285045559,Hallmark,170,51,0.3
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 17 sets at pooled FDR < 0.05,14,HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,up,1.69092653,0.403834335,3.11489513e-4,0.00111246255,0.00865668281,Hallmark,137,41,0.299270073
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 17 sets at pooled FDR < 0.05,15,HALLMARK_COMPLEMENT,Complement,up,1.67714398,0.394879787,2.92787188e-4,0.00111246255,0.00842000461,Hallmark,152,45,0.296052632
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 17 sets at pooled FDR < 0.05,16,HALLMARK_P53_PATHWAY,p53 Pathway,up,1.61353122,0.374042648,6.90955678e-4,0.00230318559,0.0150058397,Hallmark,171,47,0.274853801
CD8,SF_vs_PB_CD8,Hallmark,barplot,every one of the 17 sets at pooled FDR < 0.05,17,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,up,1.6000463,0.371921364,8.9564313e-4,0.00279888478,0.0175954967,Hallmark,168,41,0.244047619
