"population","database","pathway_id","direction","nes","padj","padj_pooled","set_size","n_tests_in_db","n_tests_pooled","n_sig_pooled_in_database","n_sig_per_database_only"
"CD8","GO_BP","GOBP_CYTOPLASMIC_TRANSLATION","down",-3.62187354,2.46419699e-46,2.00197967e-46,159,5777,11351,500,482
"CD8","GO_BP","GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION","down",-3.35938921,2.92955001e-26,5.4820548e-27,47,5777,11351,500,482
"CD8","GO_BP","GOBP_RIBOSOME_BIOGENESIS","down",-2.70544379,3.54451216e-23,8.70559061e-24,295,5777,11351,500,482
"CD8","GO_BP","GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION","down",-3.15061071,1.15557182e-18,3.13177601e-19,60,5777,11351,500,482
"CD8","GO_BP","GOBP_MYOBLAST_FUSION","down",-3.09314222,8.85506337e-18,2.80628478e-18,69,5777,11351,500,482
"CD8","GO_BP","GOBP_SYNCYTIUM_FORMATION","down",-2.91371732,1.09840801e-14,3.69980346e-15,78,5777,11351,500,482
"CD8","GO_BP","GOBP_MYOTUBE_DIFFERENTIATION","down",-2.71554987,6.38907308e-13,2.44098523e-13,114,5777,11351,500,482
"CD8","GO_BP","GOBP_RRNA_PROCESSING","down",-2.44012574,8.65990737e-13,3.67902946e-13,213,5777,11351,500,482
"CD8","GO_BP","GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS","down",-2.74023966,1.31287712e-12,6.10962772e-13,104,5777,11351,500,482
"CD8","GO_BP","GOBP_RRNA_METABOLIC_PROCESS","down",-2.26551746,1.38821753e-11,6.81913501e-12,256,5777,11351,500,482
"CD8","GO_BP","GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION","down",-2.33897907,5.81244514e-11,2.99112125e-11,215,5777,11351,500,482
"CD8","GO_BP","GOBP_STRIATED_MUSCLE_CONTRACTION","down",-2.55134579,1.25791809e-10,6.74081935e-11,132,5777,11351,500,482
"CD8","GO_BP","GOBP_VIRAL_LIFE_CYCLE","up",2.18012838,8.78867407e-09,4.40177958e-09,218,5777,11351,500,482
"CD8","GO_BP","GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION","down",-2.22409186,1.00885163e-08,5.33683467e-09,201,5777,11351,500,482
"CD8","GO_BP","GOBP_MUSCLE_CONTRACTION","down",-2.17840384,2.15371643e-08,1.19766585e-08,206,5777,11351,500,482
"CD8","GO_BP","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS","down",-2.54226559,2.93759559e-08,1.64913314e-08,69,5777,11351,500,482
"CD8","GO_BP","GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION","up",2.54411801,4.93265587e-08,2.84075318e-08,40,5777,11351,500,482
"CD8","GO_BP","GOBP_REGULATION_OF_VIRAL_PROCESS","up",2.34285289,5.41162492e-08,3.24399322e-08,108,5777,11351,500,482
"CD8","GO_BP","GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE","up",2.40247403,5.89502973e-08,3.66792212e-08,87,5777,11351,500,482
"CD8","GO_BP","GOBP_RIBOSOME_ASSEMBLY","down",-2.58977132,6.47283222e-08,4.10264947e-08,59,5777,11351,500,482
"CD8","GO_BP","GOBP_VIRAL_GENOME_REPLICATION","up",2.35322976,7.20334558e-08,4.71785677e-08,93,5777,11351,500,482
