population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,1,MITOPATHWAYS_Metabolism.Detoxification.ROS_and_glutathione_metabolism,Metabolism Detoxification ROS and Glutathione Metabolism,up,1.86496787,0.613772896,0.00191264948,0.111873383,0.0212690945,MitoPathways,24,12,0.5
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,2,MITOPATHWAYS_Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome,Mitochondrial Central Dogma Translation Mitochondrial Ribosome,up,1.68110663,0.429187122,0.00212200676,0.111873383,0.0228771403,MitoPathways,81,44,0.543209877
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,3,MITOPATHWAYS_Metabolism.Detoxification,Metabolism Detoxification,up,1.76876246,0.520960587,0.00305109225,0.111873383,0.0296708414,MitoPathways,39,17,0.435897436
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,4,MITOPATHWAYS_OXPHOS.OXPHOS_subunits,OXPHOS OXPHOS Subunits,up,1.51682797,0.379669669,0.0101741945,0.27979035,0.0696738127,MitoPathways,91,39,0.428571429
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,5,MITOPATHWAYS_Metabolism.Carbohydrate_metabolism.TCA-associated,Metabolism Carbohydrate Metabolism Tca-Associated,up,1.64203627,0.619398711,0.020283243,0.349314399,0.11123724,MitoPathways,14,6,0.428571429
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,6,MITOPATHWAYS_Metabolism.Sulfur_metabolism,Metabolism Sulfur Metabolism,up,1.61151227,0.650488133,0.0265428895,0.349314399,0.134041592,MitoPathways,11,7,0.636363636
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,7,MITOPATHWAYS_Metabolism.Carbohydrate_metabolism.Gluconeogenesis,Metabolism Carbohydrate Metabolism Gluconeogenesis,up,1.59478244,0.732369159,0.0284118742,0.349314399,0.139087721,MitoPathways,7,5,0.714285714
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,8,MITOPATHWAYS_OXPHOS,OXPHOS,up,1.3499165,0.311204067,0.028580269,0.349314399,0.139615281,MitoPathways,158,63,0.398734177
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,9,MITOPATHWAYS_Metabolism,Metabolism,up,1.20083203,0.249765442,0.0621562878,0.6011601,0.2264849,MitoPathways,397,147,0.370277078
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,10,MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance.Apoptosis,Mitochondrial Dynamics and Surveillance Apoptosis,up,1.40999184,0.439987707,0.0685923218,0.6011601,0.241264658,MitoPathways,30,9,0.3
Treg,SF_vs_PB_Treg,MitoPathways,facet,top 10 per direction by pooled FDR,11,MITOPATHWAYS_Metabolism.Vitamin_metabolism.Biotin_utilizing_proteins,Metabolism Vitamin Metabolism Biotin Utilizing Proteins,down,-1.62051421,-0.81765195,0.0137998017,0.303595637,0.0857016811,MitoPathways,5,3,0.6
