population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
CD8,SF_vs_PB_CD8,WikiPathways,dotplot,top 20 by pooled FDR,1,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,Cytoplasmic Ribosomal Proteins,down,-3.75093781,-0.889536678,3.805868919999999e-49,3.15887121e-46,7.200069689999999e-46,WikiPathways,86,75,0.872093023
CD8,SF_vs_PB_CD8,WikiPathways,dotplot,top 20 by pooled FDR,2,WP_22Q112_DISTAL_CNV,22q112 Distal Cnv,down,-2.51518333,-0.568753347,4.37450037e-12,1.81541765e-9,1.05648838e-9,WikiPathways,114,35,0.307017544
CD8,SF_vs_PB_CD8,WikiPathways,dotplot,top 20 by pooled FDR,3,WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,Calcium Regulation in Cardiac Cells,up,2.17615923,0.558690346,1.25178536e-7,2.87377137e-5,1.39304075e-5,WikiPathways,85,34,0.4
CD8,SF_vs_PB_CD8,WikiPathways,dotplot,top 20 by pooled FDR,4,WP_ALLOGRAFT_REJECTION,Allograft Rejection,up,2.2635599,0.610745363,1.38495006e-7,2.87377137e-5,1.49719696e-5,WikiPathways,64,34,0.53125
CD8,SF_vs_PB_CD8,WikiPathways,dotplot,top 20 by pooled FDR,5,WP_ALZHEIMERS_DISEASE,Alzheimers Disease,up,1.87347334,0.428323998,8.78909343e-7,1.45898951e-4,7.33566173e-5,WikiPathways,191,71,0.371727749
CD8,SF_vs_PB_CD8,WikiPathways,dotplot,top 20 by pooled FDR,6,WP_ALZHEIMERS_DISEASE_AND_MIRNA_EFFECTS,Alzheimers Disease and miRNA Effects,up,1.86847383,0.426892575,1.54499146e-6,2.13723818e-4,1.20117795e-4,WikiPathways,192,71,0.369791667
CD8,SF_vs_PB_CD8,WikiPathways,dotplot,top 20 by pooled FDR,7,WP_EBOLA_VIRUS_INFECTION_IN_HOST,Ebola Virus Infection in Host,up,1.97828605,0.488369998,3.90503769e-6,4.63025898e-4,2.65425646e-4,WikiPathways,109,41,0.376146789
CD8,SF_vs_PB_CD8,WikiPathways,dotplot,top 20 by pooled FDR,8,WP_EGFEGFR_SIGNALING,Egfegfr Signaling,up,1.87152739,0.444618968,6.48780536e-6,6.73109806e-4,3.89645919e-4,WikiPathways,143,64,0.447552448
CD8,SF_vs_PB_CD8,WikiPathways,dotplot,top 20 by pooled FDR,9,WP_G_PROTEIN_SIGNALING,G Protein Signaling,up,2.03186869,0.545013564,9.30856557e-6,8.58456602e-4,5.2307687e-4,WikiPathways,66,30,0.454545455
CD8,SF_vs_PB_CD8,WikiPathways,dotplot,top 20 by pooled FDR,10,WP_CELL_INTERACTIONS_IN_PANCREATIC_CANCER_MICROENVIRONMENT,Cell Interactions in Pancreatic Cancer Microenvironment,up,2.17546071,0.730316692,1.64196319e-5,0.00136282945,8.32050187e-4,WikiPathways,23,13,0.565217391
